Model,Variable,Coef,SE,t,p-value,CI_low,CI_high,Sig
Model 3,RACE_BLACK,0.1353,0.0098,13.804,0.0,0.1161,0.1545,***
Model 3,RACE_HISPANIC,0.0249,0.0105,2.38,0.0173,0.0044,0.0454,*
Model 3,RACE_OTHER,-0.0321,0.0194,-1.652,0.0986,-0.0702,0.006,.
Model 3,FEMALE,-0.568,0.0225,-25.279,0.0,-0.6121,-0.524,***
Model 3,RACE_BLACK:FEMALE,-0.3786,0.0418,-9.055,0.0,-0.4606,-0.2967,***
Model 3,RACE_HISPANIC:FEMALE,-0.0802,0.0319,-2.511,0.012,-0.1428,-0.0176,*
Model 3,RACE_OTHER:FEMALE,-0.0155,0.0593,-0.261,0.7941,-0.1316,0.1007,
Model 3,AGE,-0.0095,0.0004,-25.105,0.0,-0.0103,-0.0088,***
Model 3,XFOLSOR,0.1211,0.0005,236.397,0.0,0.1201,0.1221,***
Model 3,XCRHISSR,0.2355,0.002,117.473,0.0,0.2316,0.2394,***
Model 3,XMINSOR,-0.0,0.0,-6.77,0.0,-0.0,-0.0,***
Model 3,MAND_MIN,0.6058,0.0399,15.177,0.0,0.5276,0.6841,***
Model 3,GUILTY_PLEA,-0.1187,0.0263,-4.507,0.0,-0.1703,-0.0671,***
Model 3,ACCEPT_RESP,-0.2488,0.0225,-11.067,0.0,-0.2928,-0.2047,***
